Location,Average Level,Gym Section
Route 201,2,0
Route 209,16,1
Route 208,16,1
Route 206,15,1
Route 202,3,0
Route 222,41,6
Route 215,21,2
Route 204,7,0
Route 203,5,0
Mt. Coronet,37,5
Route 211,27,3
Oreburgh Mine,9,0
Victory Road,51,7
Oreburgh City,20,2
Route 210,25,3
Route 205,11,0
Great Marsh,25,3
Route 213,22,2
Route 212,17,1
Valley Windworks,18,1
Eterna Forest,18,1
Old Chateau,18,1
Route 218,29,3
Route 221,29,3
Route 214,24,3
Trophy Garden,17,1
Wayward Cave,16,1
Solaceon Ruins,20,2
Iron Island,32,4
Route 219,25,3
Ruin Maniac Tunnel,19,1
Route 228,53,7
Route 223,40,6
Route 216,33,4
Lake Acuity,51,7
Lake Verity,51,7
Lake Valor,51,7
Spear Pillar,55,7
Eterna City,20,2
Veilstone City,20,2
Fuego Ironworks,29,3
Route 217,35,5
Distortion World,60,7
