0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,½,0,,,½,
,½,½,,2,2,,,,,,2,½,,½,,2,
,2,½,,½,,,,2,,,,2,,½,,,
,,2,½,½,,,,0,2,,,,,½,,,
,½,2,,½,,,½,2,½,,½,2,,½,,½,
,½,½,,2,½,,,2,2,,,,,2,,½,
2,,,,,2,,½,,½,½,½,2,0,,2,2,½
,,,,2,,,½,½,,,,½,½,,,0,2
,2,,2,½,,,2,,0,,½,2,,,,2,
,,,½,2,,2,,,,,2,½,,,,½,
,,,,,,2,2,,,½,,,,,0,½,
,½,,,2,,½,½,,½,2,,,½,,2,½,½
,2,,,,2,½,,½,2,,2,,,,,½,
0,,,,,,,,,,2,,,2,,½,,
,,,,,,,,,,,,,,2,,½,0
,,,,,,½,,,,2,,,2,,½,,½
,½,½,½,,2,,,,,,,2,,,,½,2
,½,,,,,2,½,,,,,,,2,2,½,
